card_no,year,month,sales,transactions,items
18357,2010,1,-1.78E-15,3,20
14589,2010,1,-2.31E-14,2,40
12645,2010,1,-3.55E-15,1,12
30629,2010,1,1.73E-14,5,60
20561,2010,1,7.11E-15,2,26
23506,2010,1,5.68E-14,3,127
17055,2010,1,7.11E-15,2,29
17800,2010,1,0,4,61
13651,2010,1,0,1,6
14534,2010,1,0,1,11
23694,2010,1,7.11E-15,9,85
42536,2010,1,-8.88E-16,2,16
16586,2010,1,1.60E-14,1,21
10071,2010,1,5.68E-14,12,290
16313,2010,1,5.68E-14,13,161
42835,2010,1,2.84E-14,8,154
19602,2010,1,-7.11E-15,1,29
14176,2010,1,2.13E-14,22,293
11680,2010,1,6.75E-14,17,186
38709,2010,1,1.07E-14,4,55
19878,2010,1,0,7,146
21232,2010,1,-4.44E-14,7,51
20079,2010,1,1.42E-14,1,24
11672,2010,1,7.11E-15,3,56
20097,2010,1,0,3,55
24645,2010,1,4.26E-14,13,131
20752,2010,1,2.13E-14,3,63
22965,2010,1,7.11E-15,5,143
35032,2010,1,5.68E-14,5,117
22336,2010,1,-1.07E-14,4,84
16887,2010,1,3.55E-15,1,35
11433,2010,1,-7.11E-15,1,16
22456,2010,1,2.84E-14,2,46
11768,2010,1,1.71E-13,2,133
23356,2010,1,8.53E-14,4,168
18066,2010,1,-2.84E-14,4,68
18304,2010,1,-2.84E-14,2,81
12023,2010,1,-2.13E-14,8,91
17928,2010,1,-2.84E-14,1,52
50164,2010,1,7.11E-15,3,78
11122,2010,1,1.14E-13,7,173
18581,2010,1,-2.84E-14,7,87
24680,2010,1,1.42E-13,9,234
14187,2010,1,-7.82E-14,8,249
12952,2010,1,3.55E-15,1,34
22853,2010,1,-1.78E-15,1,15
22119,2010,1,0,1,18
16505,2010,1,1.42E-14,8,145
12536,2010,1,-2.84E-14,7,150
25012,2010,1,-4.55E-12,9,196
17709,2010,1,1.71E-13,2,133
10156,2010,1,3.91E-14,9,139
49936,2010,1,-3.55E-15,1,23
44665,2010,1,2.84E-14,9,120
19133,2010,1,2.84E-14,3,105
11015,2010,1,1.42E-13,18,219
19957,2010,1,4.26E-14,5,118
20363,2010,1,8.53E-14,4,161
23032,2010,1,0,2,77
23784,2010,1,-1.87E-14,5,107
14588,2010,1,7.11E-15,2,46
50389,2010,1,-5.68E-14,3,55
